,,,,,,,,,,,15 DE NOVIEMBRE,,,,,,,,,,,,,,,
15 DE NOVIEMBRE,,,,,,,,,,,POR SALIR,,,,,,,,,,,,,,,
VAGONETA,10R,V10R,106H,12R,V12R,15R,V15R,C40,TOTAL,,REFERENCIA,CANTIDAD,FACTOR,UNI EQUVALENTE,,,,,,,,,,,,
45,628,,,,,,,,628.0,,10R,"10,469",1,"10,469",,,,,,,,,,,,
10,628,,,,,,,,628.0,,12R,786,1.35,"1,061",,,,,,,,,,,,
16,628,,,,,,,,628.0,,15R,"1,224",1.5,"1,836",,,,,,,,,,,,
44,628,,,,,,,,628.0,,10R6H,0,1.1,0,,,,,,,,,,,,
25,628,,,,,,,,628.0,,10L,,1.04,0,,,,,,,,,,,,
55,628,,,,,,,,628.0,,12L,,1.35,0,,,,,,,,,,,,
23,628,,,,,,,,628.0,,15L,,1.51,0,,,,,,,,,,,,
1,668,,,,,,,,668.0,,V10R,0,1.08,0,,,,,,,,,,,,
2,668,,,,,,,,668.0,,V12R,0,1.3,0,,,,,,,,,,,,
17,628,,,,,,,,628.0,,V15R,0,1.47,0,,,,,,,,,,,,
2,628,,,,,,,,628.0,,V10L,,1.12,0,,,,,,,,,,,,
27,628,,,,,,,,628.0,,V12L,,1.3,0,,,,,,,,,,,,
30,628,,,,,,,,628.0,,V15L,,1.5,0,,,,,,,,,,,,
52,157,,,360,,,,,643.0,,CT30,,0.64,0,,,,,,,,,,,,
37,193,,,,,288,,,625.0,,CT40,,0.84,0,,,,,,,,,,,,
53,628,,,,,,,,628.0,,VCT30,,0.56,0,,,,,,,,,,,,
11,314,,,,,208,,,626.0,,MACIZO 2H,,2.38,0,,,,,,,,,,,,
34,,,,,,416,,,624.0,,TOTAL,,,"13,366",,,,,,,,,,,,
50,157,,,,,312,,,625.0,,,,,,,,,,,,,,,,,
47,149,,,402,,,,,691.7,,,,,,,,,,,,,,,,,
51,627,,,24,,,,,659.4,,AFUERA,,,,,,,,,,,,,,,
,10469,0,0,786,0,1224,0,,"13,366",,REFERENCIA,CANTIDAD,FACTOR,UNI EQUVALENTE,,,,,,,,,,,,
,,,,,,,,,,,10R,"47,200",1,"47,200",,,,,,,,,,,,
,,,,,,,,,,,12R,"5,696",1.35,"7,690",,,,,,,,,,,,
,,,,,,,,,,,15R,"16,626",1.5,"24,939",,,,,,,,,,,,
,,,,,,,,,,,10R6H,"2,960",1.1,"3,256",,,,,,,,,,,,
,,,,,,,,,,,10L,0,1.04,0,,,,,,,,,,,,
,,,,,,,,,,,12L,0,1.35,0,,,,,,,,,,,,
,,,,,,,,,,,15L,0,1.51,0,,,,,,,,,,,,
,,,,,,,,,,,V10R,"6,490",1.08,"7,009",,,,,,,,,,,,
,,,,,,,,,,,V12R,500,1.3,650,,,,,,,,,,,,
,,,,,,,,,,,V15R,495,1.47,728,,,,,,,,,,,,
,,,,,,,,,,,V10L,300,1.12,336,,,,,,,,,,,,
,,,,,,,,,,,V12L,200,1.3,260,,,,,,,,,,,,
,,,,,,,,,,,V15L,0,1.5,0,,,,,,,,,,,,
,,,,,,,,,,,CT30,"1,065",0.64,682,,,,,,,,,,,,
,,,,,,,,,,,CT40,"1,295",0.84,"1,088",,,,,,,,,,,,
,,,,,,,,,,,VCT30,260,0.56,146,,,,,,,,,,,,
,,,,,,,,,,,MACIZO 2H,"1,400",2.38,"3,332",,,,,,,_,,,,,
,,,,,,,,,,,TOTAL,,,"97,314",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,TOTAL PARA LA VENTA,,,,,,,,,,,,,,,
,,,,,,,,,,,REFERENCIA,CANTIDAD,FACTOR,UNI EQUVALENTE,SUMAR ,DESCONTAR,VAGON  6,VAGON 7,VAGON1,VAGON 2,VAGON 3,VAGON 4,VAGON 5,VAGON 6,VAGON 7,Vagon 1
,,,,,,,,,,,10R,"64,761",1,"64,761",,,,,,,,,3500,0,2592,1000
,,,,,,,,,,,12R,"6,482",1.35,"8,751",,,,,,,,,,,,
,,,,,,,,,,,15R,"19,050",1.5,"28,575","1,200",,,,,,,,,,,
,,,,,,,,,,,10R6H,"2,960",1.1,"3,256",,,,,,,,,,,,
,,,,,,,,,,,10L,900,1.04,936,,,,,,,,,,,,900
,,,,,,,,,,,12L,0,1.35,0,,,,,,,,,,,,
,,,,,,,,,,,15L,0,1.51,0,,,,,,,,,,,,
,,,,,,,,,,,V10R,"6,490",1.08,"7,009",,,,,,,,,,,,
,,,,,,,,,,,V12R,500,1.3,650,,,,,,,,,,,,
,,,,,,,,,,,V15R,495,1.47,728,,,,,,,,,,,,
,,,,,,,,,,,V10L,452,1.12,506,,,,,,,,,152,,,
,,,,,,,,,,,V12L,200,1.3,260,,,,,,,,,,,,
,,,,,,,,,,,V15L,116,1.5,174,,,,,,,,,,,116,
,,,,,,,,,,,CT30,"3,155",0.64,"2,019",,,,,,,,,2090,,,
,,,,,,,,,,,CT40,"1,295",0.84,"1,088",,,,,,,,,,,,
,,,,,,,,,,,VCT30,260,0.56,146,,,,,,,,,,,,
,,,,,,,,,,,MACIZO 2H,"1,400",2.38,"3,332",,,,,,,,,,,,
